Date,Description,Amount
05/06/2025,EQUINOX MEMBERSHIP  NEW YORK            NY,250.00
07/09/2025,OPENAI *CHATGPT     SAN FRANCISCO       CA,20.00
09/01/2025,VERIZON WIRELESS    BASKING RIDGE       NJ,118.30
06/20/2025,WALMART SUPERCENTER DALLAS              TX,41.26
10/27/2025,UBER,38.24
02/15/2025,GRUBHUB             CHICAGO             IL,44.31
02/17/2025,NETFLIX.COM         LOS GATOS           CA,15.49
07/05/2025,UBER,82.40
07/10/2025,AMAZON MKTPLACE PMTS AMZN.COM/BILL      WA,235.22
01/23/2025,T-MOBILE            BELLEVUE            WA,130.76
06/30/2025,OPENAI *CHATGPT     SAN FRANCISCO       CA,20.00
03/14/2025,WALGREENS #31290    AUSTIN              TX,44.48
08/08/2025,UNITED AIRLINES     CHICAGO             IL,596.91
08/23/2025,CHILDREN INTERNATIONKANSAS CITY         MO,30.00
05/05/2025,AMAZON MKTPLACE PMTS AMZN.COM/BILL      WA,308.93
05/25/2025,Uber Trip           help.uber.com       CA,42.58
09/18/2025,GRUBHUB             CHICAGO             IL,80.63
04/25/2025,HILTON MIDTOWN      NEW YORK            NY,263.02
09/02/2025,AMAZON MKTPLACE PMTS AMZN.COM/BILL      WA,188.87
04/20/2025,UBER,91.07
03/08/2025,UNITED AIRLINES     CHICAGO             IL,793.33
11/09/2025,T-MOBILE            BELLEVUE            WA,64.75
05/07/2025,CHILDREN INTERNATIONKANSAS CITY         MO,30.00
10/01/2025,STARBUCKS 12TH AVE  NEW YORK            NY,6.50
09/24/2025,ATM FEE REVERSAL    BANK CREDIT,-5.69
02/23/2025,STARBUCKS 12TH AVE  NEW YORK            NY,8.04
07/09/2025,UNITED AIRLINES     CHICAGO             IL,192.21
07/07/2025,CHILDREN INTERNATIONKANSAS CITY         MO,30.00
07/15/2025,WHOLEFDS DWTN 10293 NEW YORK            NY,29.90
04/07/2025,WHOLEFDS DWTN 10293 NEW YORK            NY,73.05
06/24/2025,WALMART SUPERCENTER DALLAS              TX,133.28
